CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
13418,11,18,6127.43,5,5,5,555
15939,89,15,6115.01,2,5,5,255
17509,57,8,6083.64,3,5,5,355
14735,3,32,6065.69,5,5,5,555
13097,32,10,6003.22,4,5,5,455
12637,66,8,6002.9,3,5,5,355
14101,73,6,5976.79,2,5,5,255
15382,14,6,5955.71,4,5,5,455
14944,29,12,5900.25,4,5,5,455
13209,29,8,5891.61,4,5,5,455
13534,1,25,5870.08,5,5,5,555
14505,16,8,5859.43,4,5,5,455
14415,0,13,5855.57,5,5,5,555
13050,14,17,5836.86,4,5,5,455
12720,2,25,5781.73,5,5,5,555
15218,10,11,5756.89,5,5,5,555
17686,6,7,5739.46,5,5,5,555
13316,36,4,5732.93,3,4,5,345
13178,25,11,5725.47,4,5,5,455
16553,162,12,5719.82,2,5,5,255
13468,1,37,5704.97,5,5,5,555
14110,3,12,5683.15,5,5,5,555
17716,22,11,5655.99,4,5,5,455
13004,11,18,5655.91,5,5,5,555
17049,2,9,5655.03,5,5,5,555
18118,10,26,5625.08,5,5,5,555
17757,0,30,5593.39,5,5,5,555
12839,2,14,5591.42,5,5,5,555
12481,22,10,5579.82,4,5,5,455
14688,7,21,5579.1,5,5,5,555
14049,16,4,5578.72,4,4,5,445
16767,30,11,5575.56,4,5,5,455
12539,21,4,5568.35,4,4,5,445
16161,1,19,5533.67,5,5,5,555
18225,2,12,5504.96,5,5,5,555
16609,14,7,5493.46,4,5,5,455
15805,22,17,5488.18,4,5,5,455
16985,16,10,5464.12,4,5,5,455
16265,8,9,5447.0,5,5,5,555
18198,3,17,5425.56,5,5,5,555
12490,4,10,5417.93,5,5,5,555
17809,15,12,5411.91,4,5,5,455
16701,8,13,5398.3,5,5,5,555
17719,37,15,5396.04,3,5,5,355
17850,371,34,5391.21,1,5,5,155
16303,25,3,5360.63,4,4,5,445
13269,0,15,5343.28,5,5,5,555
17730,2,13,5298.48,5,5,5,555
15150,16,10,5291.33,4,5,5,455
17061,73,11,5232.23,2,5,5,255
18226,43,11,5228.05,3,5,5,355
12362,2,10,5226.23,5,5,5,555
16258,44,5,5203.51,3,4,5,345
13756,1,14,5189.52,5,5,5,555
16191,2,13,5180.52,5,5,5,555
15727,16,7,5159.06,4,5,5,455
13599,0,21,5149.92,5,5,5,555
17858,5,12,5140.66,5,5,5,555
15903,9,7,5126.76,5,5,5,555
13941,21,5,5112.96,4,4,5,445
15046,8,15,5090.42,5,5,5,555
16700,8,13,5076.55,5,5,5,555
13139,15,7,5064.94,4,5,5,455
12432,42,5,5059.32,3,4,5,345
17602,1,6,5054.42,5,5,5,555
15301,50,12,5049.95,3,5,5,355
17426,7,6,5037.26,5,5,5,555
15719,32,13,5030.07,4,5,5,455
14755,9,11,5010.28,5,5,5,555
14562,3,18,5006.77,5,5,5,555
12444,20,5,5005.46,4,4,5,445
14329,16,7,4975.24,4,5,5,455
15032,255,3,4959.1,1,4,5,145
12437,1,18,4951.41,5,5,5,555
12700,7,4,4939.99,5,4,5,545
14709,14,13,4921.04,4,5,5,455
15786,45,3,4919.0,3,4,5,345
15547,6,14,4910.6,5,5,5,555
17133,15,7,4892.24,4,5,5,455
12664,7,9,4881.88,5,5,5,555
12688,113,1,4873.81,2,2,5,225
14292,7,9,4871.93,5,5,5,555
17652,24,12,4867.72,4,5,5,455
15738,18,16,4812.42,4,5,5,455
13013,0,13,4810.94,5,5,5,555
15298,1,12,4799.9,5,5,5,555
15555,11,16,4794.86,5,5,5,555
15187,1,16,4777.18,5,5,5,555
17365,12,8,4767.36,5,5,5,555
12955,0,11,4757.16,5,5,5,555
14180,10,25,4748.52,5,5,5,555
15152,9,13,4745.69,5,5,5,555
16722,16,13,4730.81,4,5,5,455
17690,29,15,4726.8,4,5,5,455
12714,8,5,4708.86,5,4,5,545
14135,1,15,4690.31,5,5,5,555
14191,1,13,4684.76,5,5,5,555
15291,25,15,4668.3,4,5,5,455
14189,1,15,4654.08,5,5,5,555
14390,9,9,4642.57,5,5,5,555
14159,19,11,4630.35,4,5,5,455
14286,23,3,4628.75,4,4,5,445
13802,138,3,4599.42,2,4,5,245
15093,17,6,4597.02,4,5,5,455
14004,42,7,4582.64,3,5,5,355
16931,4,21,4554.87,5,5,5,555
17068,11,21,4552.14,5,5,5,555
17613,22,14,4544.55,4,5,5,455
12484,32,6,4527.32,3,5,5,355
13267,2,19,4521.49,5,5,5,555
15299,66,7,4507.01,3,5,5,355
12524,8,8,4485.72,5,5,5,555
17975,14,13,4483.26,4,5,5,455
14426,23,10,4481.67,4,5,5,455
12627,10,7,4478.53,5,5,5,555
17364,0,11,4462.68,5,5,5,555
16984,87,2,4459.52,2,3,5,235
13069,0,24,4431.44,5,5,5,555
14085,1,18,4421.29,5,5,5,555
15955,23,14,4416.26,4,5,5,455
16626,0,17,4413.1,5,5,5,555
15874,63,7,4405.88,3,5,5,355
14534,2,18,4397.3,5,5,5,555
12712,28,13,4396.13,4,5,5,455
13505,72,4,4393.63,2,4,5,245
12752,80,1,4366.78,2,2,5,225
16945,21,19,4345.5,4,5,5,455
14016,161,4,4341.21,2,4,5,245
14800,47,12,4331.79,3,5,5,355
17567,6,8,4331.48,5,5,5,555
18251,86,1,4314.72,2,2,5,225
12347,1,7,4310.0,5,5,5,555
17937,8,7,4301.22,5,5,5,555
15034,15,8,4274.16,4,5,5,455
14422,0,6,4263.64,5,5,5,555
12500,22,11,4257.82,4,5,5,455
17419,10,12,4226.57,5,5,5,555
14525,19,9,4215.9,4,5,5,455
15804,0,13,4206.39,5,5,5,555
15971,17,12,4199.85,4,5,5,455
12747,1,11,4196.01,5,5,5,555
14146,8,5,4191.0,5,4,5,545
14277,14,3,4188.0,4,4,5,445
12949,30,8,4167.22,4,5,5,455
13384,30,7,4151.93,4,5,5,455
15570,6,12,4148.82,5,5,5,555
13988,19,6,4147.96,4,5,5,455
12569,1,32,4124.69,5,5,5,555
17920,3,17,4119.5,5,5,5,555
16592,3,16,4113.68,5,5,5,555
13555,73,4,4098.88,2,4,5,245
16401,0,12,4098.32,5,5,5,555
18041,11,21,4097.37,5,5,5,555
16670,16,11,4095.9,4,5,5,455
12749,3,5,4090.88,5,4,5,545
14092,7,14,4076.91,5,5,5,555
12449,21,4,4067.29,4,4,5,445
17377,23,20,4058.32,4,5,5,455
18087,97,2,4055.72,2,3,5,235
14401,3,13,4051.48,5,5,5,555
12656,16,5,4051.17,4,4,5,445
16549,9,10,4034.9,5,5,5,555
13815,21,4,4027.36,4,4,5,445
15514,11,11,4023.72,5,5,5,555
17940,48,10,4020.04,3,5,5,355
12957,9,8,4017.54,5,5,5,555
12867,25,7,4009.34,4,5,5,455
12378,129,1,4008.62,2,2,5,225
16186,22,12,4006.94,4,5,5,455
12841,4,25,3991.58,5,5,5,555
17001,0,11,3989.57,5,5,5,555
15416,64,4,3984.32,3,4,5,345
12779,37,8,3981.36,3,5,5,355
12727,10,7,3980.7,5,5,5,555
14547,3,8,3974.75,5,5,5,555
14299,7,9,3965.62,5,5,5,555
13523,32,5,3964.88,3,4,5,345
15529,22,11,3962.6,4,5,5,455
17611,6,15,3961.12,5,5,5,555
13183,7,9,3957.78,5,5,5,555
17769,12,10,3957.43,5,5,5,555
17651,11,10,3945.0,5,5,5,555
12473,28,5,3928.05,4,4,5,445
17593,3,5,3923.86,5,4,5,545
14739,3,7,3902.28,5,5,5,555
13999,9,12,3901.81,5,5,5,555
14291,1,11,3883.25,5,5,5,555
15195,2,1,3861.0,5,2,5,525
18073,113,12,3859.82,2,5,5,255
12662,0,11,3849.78,5,5,5,555
16717,23,6,3843.08,4,5,5,455
13266,10,12,3834.26,5,5,5,555
17091,2,9,3827.76,5,5,5,555
16327,13,6,3820.27,4,5,5,455
12755,280,2,3811.95,1,3,5,135
12597,18,4,3811.22,4,4,5,445
15867,4,15,3810.14,5,5,5,555
13435,4,7,3809.89,5,5,5,555
12668,11,4,3807.15,5,4,5,545
16145,8,11,3799.49,5,5,5,555
16655,17,6,3789.52,4,5,5,455
16168,10,27,3787.6,5,5,5,555
16019,46,9,3786.24,3,5,5,355
12562,7,7,3781.74,5,5,5,555
17173,4,8,3766.6,5,5,5,555
13124,89,3,3756.33,2,4,5,245
12429,8,4,3750.4,5,4,5,545
14145,46,4,3742.2,3,4,5,345
13552,65,12,3740.07,3,5,5,355
16570,14,10,3738.4,4,5,5,455
12502,95,5,3723.87,2,4,5,245
12647,21,12,3722.82,4,5,5,455
13680,0,4,3719.12,5,4,5,545
17238,2,17,3719.1,5,5,5,555
16240,23,2,3718.8,4,3,5,435
14364,108,8,3717.35,2,5,5,255
15845,17,8,3711.77,4,5,5,455
15622,42,9,3709.56,3,5,5,355
17819,71,7,3704.87,3,5,5,355
15379,168,7,3703.29,2,5,5,255
14282,2,15,3701.44,5,5,5,555
12553,7,10,3692.28,5,5,5,555
16253,66,2,3683.86,3,3,5,335
13148,28,12,3683.26,4,5,5,455
15581,120,13,3675.77,2,5,5,255
15296,50,6,3672.86,3,5,5,355
16904,3,16,3653.75,5,5,5,555
15808,305,4,3651.27,1,4,5,145
12417,2,9,3649.1,5,5,5,555
13426,0,10,3641.32,5,5,5,555
12619,15,9,3641.24,4,5,5,455
16440,7,5,3640.67,5,4,5,545
13381,31,6,3639.31,4,5,5,455
17230,263,8,3638.41,1,5,5,155
17528,0,8,3628.5,5,5,5,555
13327,38,8,3627.77,3,5,5,355
13520,58,6,3624.35,3,5,5,355
13082,125,9,3613.63,2,5,5,255
18079,44,4,3613.15,3,4,5,345
16712,8,11,3611.31,5,5,5,555
15505,52,5,3610.96,3,4,5,345
13137,10,8,3603.29,5,5,5,555
14543,28,16,3599.73,4,5,5,455
15484,0,4,3590.41,5,4,5,545
14132,1,11,3586.03,5,5,5,555
16242,7,7,3579.86,5,5,5,555
17576,7,19,3564.83,5,5,5,555
14040,40,12,3560.32,3,5,5,355
17203,35,6,3560.08,3,5,5,355
17491,0,10,3558.87,5,5,5,555
15544,8,9,3546.71,5,5,5,555
14503,2,6,3543.26,5,5,5,555
12370,50,4,3541.94,3,4,5,345
13448,16,6,3534.69,4,5,5,455
12454,55,1,3528.34,3,2,5,325
17160,30,6,3518.03,4,5,5,455
13953,6,7,3515.68,5,5,5,555
15113,9,3,3509.43,5,4,5,545
16131,51,6,3506.54,3,5,5,355
13334,81,3,3502.32,2,4,5,245
14907,2,7,3501.1,5,5,5,555
16458,2,18,3482.74,5,5,5,555
14395,1,9,3479.91,5,5,5,555
13993,42,9,3466.36,3,5,5,355
13014,10,10,3466.28,5,5,5,555
15410,83,8,3450.84,2,5,5,255
16360,4,6,3450.41,5,5,5,555
15129,49,11,3447.4,3,5,5,355
13536,0,7,3444.39,5,5,5,555
15974,38,7,3442.15,3,5,5,355
17725,15,11,3439.08,4,5,5,455
15676,18,3,3435.76,4,4,5,445
14221,41,9,3432.8,3,5,5,355
12406,21,2,3415.3,4,3,5,435
15981,24,8,3408.48,4,5,5,455
17758,18,8,3408.2,4,5,5,455
13437,13,7,3408.06,4,5,5,455
17669,42,7,3406.72,3,5,5,355
13198,9,6,3401.24,5,5,5,555
15228,65,4,3386.71,3,4,5,345
13842,58,9,3385.62,3,5,5,355
16011,7,16,3352.96,5,5,5,555
14227,25,10,3350.96,4,5,5,455
16818,10,11,3349.57,5,5,5,555
16607,17,14,3347.71,4,5,5,455
17183,7,6,3347.31,5,5,5,555
12643,127,6,3344.64,2,5,5,255
12613,56,5,3344.38,3,4,5,345
13015,52,5,3339.64,3,4,5,345
12594,37,10,3338.22,3,5,5,355
16556,66,7,3313.79,3,5,5,355
13373,60,3,3312.25,3,4,5,345
14841,52,6,3295.76,3,5,5,355
15632,15,8,3285.31,4,5,5,455
12480,27,4,3281.63,4,4,5,445
15764,87,6,3279.97,2,5,5,255
17723,126,6,3276.4,2,5,5,255
14702,0,17,3251.79,5,5,5,555
13952,217,2,3251.07,1,3,5,135
13047,31,10,3237.54,4,5,5,455
15708,40,7,3235.25,3,5,5,355
14175,59,3,3222.3,3,4,5,345
13880,20,13,3219.77,4,5,5,455
15443,1,7,3213.59,5,5,5,555
14388,9,8,3212.84,5,5,5,555
16107,17,7,3204.16,4,5,5,455
13868,6,2,3192.54,5,3,5,535
13758,11,7,3190.55,5,5,5,555
14844,63,4,3189.81,3,4,5,345
17220,23,14,3187.55,4,5,5,455
17050,95,6,3185.64,2,5,5,255
12456,43,3,3181.04,3,4,5,345
17672,49,2,3178.17,3,3,5,335
13268,17,11,3174.75,4,5,5,455
16837,30,11,3170.98,4,5,5,455
16041,30,3,3166.4,4,4,5,445
17863,58,6,3160.0,3,5,5,355
15065,37,4,3158.13,3,4,5,345
17685,16,7,3155.83,4,5,5,455
15861,11,8,3146.92,5,5,5,555
14235,74,5,3144.86,2,4,5,245
17231,11,10,3124.72,5,5,5,555
13685,2,7,3119.44,5,5,5,555
16678,2,12,3109.99,5,5,5,555
13742,16,12,3107.87,4,5,5,455
14099,15,11,3104.17,4,5,5,455
15491,94,6,3100.09,2,5,5,255
14257,63,5,3099.72,3,4,5,345
14565,95,4,3099.12,2,4,5,245
13135,196,1,3096.0,1,2,5,125
16156,8,9,3092.04,5,5,5,555
13362,8,4,3090.74,5,4,5,545
16218,29,7,3084.68,4,5,5,455
13869,122,4,3083.65,2,4,5,245
17059,29,5,3080.39,4,4,5,445
15998,36,5,3080.22,3,4,5,345
18272,2,6,3078.58,5,5,5,555
12910,22,8,3075.04,4,5,5,455
13631,99,11,3070.42,2,5,5,255
16940,51,3,3049.88,3,4,5,345
16393,1,13,3040.96,5,5,5,555
16326,5,14,3039.22,5,5,5,555
17799,21,10,3039.17,4,5,5,455
16905,4,7,3037.6,5,5,5,555
16709,84,5,3029.87,2,4,5,245
12598,9,8,3023.08,5,5,5,555
12395,18,12,3018.63,4,5,5,455
18094,81,7,3017.3,2,5,5,255
14456,4,9,3017.28,5,5,5,555
12754,235,3,3010.74,1,4,5,145
15521,39,8,3000.2,3,5,5,355
17659,16,12,2999.46,4,5,5,455
17504,205,9,2997.03,1,5,5,155
12670,9,5,2996.05,5,4,5,545
14307,88,6,2995.72,2,5,5,255
15687,8,9,2993.1,5,5,5,555
14639,51,6,2984.49,3,5,5,355
14032,1,11,2975.59,5,5,5,555
15854,3,12,2969.12,5,5,5,555
16497,49,6,2965.69,3,5,5,355
17924,11,7,2962.5,5,5,5,555
16686,46,7,2959.88,3,5,5,355
14868,2,8,2953.59,5,5,5,555
12916,138,4,2944.95,2,4,5,245
17444,147,3,2940.04,2,4,5,245
16316,63,8,2938.91,3,5,5,355
17512,28,10,2924.99,4,5,5,455
15606,60,9,2920.16,3,5,5,355
12906,11,5,2919.81,5,4,5,545
14112,22,7,2915.15,4,5,5,455
12438,13,2,2906.85,4,3,5,435
13451,25,5,2898.26,4,4,5,445
17644,0,11,2895.64,5,5,5,555
18144,7,12,2888.75,5,5,5,555
12408,32,5,2888.55,3,4,5,345
13735,24,4,2883.54,4,4,5,445
16633,16,6,2883.1,4,5,5,455
14251,1,5,2879.7,5,4,5,545
17728,3,3,2876.01,5,4,5,545
14005,9,5,2874.72,5,4,5,545
15628,4,9,2870.24,5,5,5,555
13901,71,5,2867.2,2,4,5,245
12685,27,6,2863.08,4,5,5,455
14530,25,6,2862.11,4,5,5,455
18145,12,4,2861.55,5,4,5,545
14535,59,3,2854.84,3,4,5,345
14711,9,11,2839.62,5,5,5,555
14852,57,6,2836.69,3,5,5,355
14842,43,4,2824.69,3,4,5,345
16928,79,17,2814.7,2,5,5,255
16871,21,6,2812.34,4,5,5,455
12356,22,3,2811.43,4,4,5,445
18230,8,7,2810.2,5,5,5,555
17596,22,7,2806.69,4,5,5,455
14572,2,7,2804.54,5,5,5,555
16081,55,5,2799.42,3,4,5,345
13769,1,10,2796.51,5,5,5,555
14903,20,5,2795.33,4,4,5,445
12578,20,2,2794.51,4,3,5,435
12758,116,2,2791.59,2,3,5,235
17739,11,7,2791.35,5,5,5,555
14626,23,4,2791.27,4,4,5,445
16764,3,13,2790.95,5,5,5,555
17213,39,7,2781.23,3,5,5,355
12388,15,6,2780.66,4,5,5,455
15984,2,10,2780.63,5,5,5,555
14121,3,4,2780.15,5,4,5,545
15993,8,7,2777.67,5,5,5,555
13870,1,8,2770.94,5,5,5,555
15114,29,10,2760.56,4,5,5,455
13971,18,8,2758.26,4,5,5,455
13230,3,14,2755.63,5,5,5,555
15321,70,3,2748.31,3,4,5,345
17084,34,2,2747.99,3,3,5,335
12669,150,3,2744.03,2,4,5,245
13174,15,3,2742.82,4,4,5,445
14854,77,7,2740.03,2,5,5,255
16003,29,5,2735.37,4,4,5,445
12840,143,4,2726.77,2,4,5,245
15673,87,4,2726.23,2,4,5,245
12380,21,4,2724.81,4,4,5,445
17838,26,5,2720.8,4,4,5,445
14125,10,3,2720.63,5,4,5,545
14808,39,8,2718.6,3,5,5,355
15356,30,10,2718.03,4,5,5,455
12708,29,10,2712.91,4,5,5,455
16938,8,4,2711.68,5,4,5,545
15696,32,8,2711.11,4,5,5,455
17069,27,9,2709.7,4,5,5,455
13285,22,4,2709.12,4,4,5,445
15796,0,8,2708.61,5,5,5,555
13654,42,6,2707.33,3,5,5,355
14107,51,7,2703.23,3,5,5,355
14732,7,8,2702.49,5,5,5,555
17386,7,6,2686.42,5,5,5,555
12625,211,2,2683.82,1,3,5,135
13883,10,5,2674.48,5,4,5,545
18097,7,6,2662.4,5,5,5,555
14713,8,11,2662.2,5,5,5,555
12360,51,3,2662.06,3,4,5,345
14439,319,1,2661.24,1,2,5,125
15671,18,7,2657.13,4,5,5,455
12721,31,6,2656.13,4,5,5,455
13851,95,3,2651.46,2,4,5,245
16618,30,5,2647.59,4,4,5,445
13658,9,5,2639.17,5,4,5,545
17655,10,7,2638.94,5,5,5,555
13771,63,4,2634.45,3,4,5,345
12520,78,5,2634.26,2,4,5,245
17402,4,13,2633.85,5,5,5,555
18260,172,6,2628.35,2,5,5,255
15752,39,7,2626.6,3,5,5,355
13422,63,1,2626.3,3,2,5,325
13644,15,4,2624.26,4,4,5,445
17346,3,15,2622.88,5,5,5,555
18210,1,6,2621.38,5,5,5,555
16255,16,8,2619.91,4,5,5,455
14262,7,8,2618.23,5,5,5,555
13021,3,9,2616.38,5,5,5,555
15782,9,3,2614.74,5,4,5,545
14397,2,19,2612.96,5,5,5,555
18075,22,10,2611.75,4,5,5,455
12836,58,4,2610.36,3,4,5,345
12726,27,7,2609.1,4,5,5,455
13136,55,5,2607.61,3,4,5,345
13983,29,12,2603.43,4,5,5,455
17317,45,3,2600.34,3,4,5,345
17965,37,14,2599.19,3,5,5,355
12600,28,10,2599.04,4,5,5,455
14408,10,7,2599.03,5,5,5,555
13895,27,4,2593.07,4,4,5,445
16919,155,11,2592.25,2,5,5,255
16241,9,13,2590.31,5,5,5,555
14243,8,10,2588.77,5,5,5,555
13804,30,7,2588.39,4,5,5,455
18077,7,11,2584.41,5,5,5,555
13911,56,9,2580.91,3,5,5,355
14546,4,5,2573.93,5,4,5,545
18245,6,7,2567.06,5,5,5,555
15485,29,3,2564.5,4,4,5,445
16308,37,4,2560.0,3,4,5,345
15033,4,10,2557.18,5,5,5,555
16912,28,11,2555.58,4,5,5,455
14334,16,8,2552.21,4,5,5,455
14676,30,6,2548.24,4,5,5,455
14776,50,11,2538.3,3,5,5,355
17700,16,4,2534.64,4,4,5,445
15572,4,7,2533.42,5,5,5,555
14659,8,9,2529.93,5,5,5,555
17314,24,8,2527.92,4,5,5,455
14701,10,9,2526.09,5,5,5,555
13394,1,8,2520.02,5,5,5,555
